x,y,z,labels
-0.296581745,-9.755174637,-0.660201132,still
-0.296581745,-9.755174637,-0.660201132,still
-0.198419467,-9.731232643,-0.813430011,still
-0.801758289,-9.867702484,-0.499789596,still
-0.792181492,-9.747992516,-0.588375092,still
-0.792181492,-9.747992516,-0.588375092,still
-0.102651395,-9.719262123,0.299873769,still
-0.456993252,-9.791088104,-0.241215825,still
-0.456993252,-9.791088104,-0.241215825,still
-0.358830988,-9.769539833,0.067636199,still
-0.303764343,-9.827000618,0.062847793,still
-0.234332487,-9.685743332,0.388459235,still
-0.272639722,-9.831789017,0.151433259,still
-0.157718033,-9.771934509,0.223259315,still
-0.234332487,-9.750386238,0.326209992,still
-0.234332487,-9.750386238,0.326209992,still
-0.186448455,-9.719262123,0.417189658,still
-0.205602065,-9.759963036,0.235230312,still
-0.12898761,-9.803058624,0.443525851,still
